Title,Author,CategoryID,ISBN,Quantity,PublishYear,Description,ImagePath
Thám Tử Lừng Danh Conan - Tập 1,Gosho Aoyama,5,978-604-2-04374-8,50,2023,"Câu chuyện bắt đầu khi thám tử trung học Shinichi Kudo bị biến thành em bé sau khi uống thuốc độc của Tổ chức Áo Đen. Với thân hình nhỏ bé nhưng trí tuệ không đổi, cậu lấy tên Conan Edogawa và sống cùng Ran Mouri để tìm cách trở lại hình dạng ban đầu. Tập đầu tiên giới thiệu các nhân vật chính và những vụ án đầu tiên đầy bí ẩn.",https://cdn1.fahasa.com/media/catalog/product/i/m/image_182222_1.jpg
Thám Tử Lừng Danh Conan - Tập 2,Gosho Aoyama,5,978-604-2-04375-5,45,2023,"Conan tiếp tục cuộc sống mới tại văn phòng thám tử của Kogoro Mouri. Trong tập này, cậu phải giải quyết những vụ án phức tạp trong khi che giấu danh tính thật của mình. Những kỹ năng suy luận thiên tài của Shinichi được thể hiện qua thân hình nhỏ bé của Conan, tạo nên những tình huống thú vị và hồi hộp.",https://cdn1.fahasa.com/media/catalog/product/t/h/tham-tu-lung-danh-conan---tap-2---tb-2023.jpg
Thám Tử Lừng Danh Conan - Tập 3,Gosho Aoyama,5,978-604-2-04376-2,48,2023,"Các vụ án ngày càng phức tạp và Conan phải sử dụng trí thông minh của mình để giải quyết những bí ẩn khó hiểu. Tập 3 mang đến những tình tiết gay cấn với các vụ giết người bí ẩn, trong khi Conan vẫn phải duy trì vai trò một đứa trẻ bình thường trước mắt mọi người.",https://cdn1.fahasa.com/media/catalog/product/t/h/tham-tu-lung-danh-conan---tap-3---tb-2023.jpg
Thám Tử Lừng Danh Conan - Tập 4,Gosho Aoyama,5,978-604-2-04377-9,42,2023,Conan gặp phải những thử thách mới khi các vụ án trở nên tinh vi hơn. Sự xuất hiện của các nhân vật phụ thú vị và những mối quan hệ phức tạp trong xã hội Nhật Bản được khắc họa sinh động. Conan phải học cách cân bằng giữa việc giải quyết vụ án và giữ bí mật danh tính.,https://cdn1.fahasa.com/media/catalog/product/t/h/tham-tu-lung-danh-conan---tap-4---tb-2023.jpg
Thám Tử Lừng Danh Conan - Tập 5,Gosho Aoyama,5,978-604-2-04378-6,40,2023,"Những vụ án trong tập 5 đòi hỏi Conan phải suy luận sâu sắc và tìm ra những manh mối tinh vi. Mối quan hệ giữa Conan và Ran ngày càng phát triển, trong khi cậu vẫn phải che giấu sự thật về bản thân. Các tình tiết hành động và suy luận được kết hợp khéo léo tạo nên sức hấp dẫn đặc biệt.",https://bizweb.dktcdn.net/thumb/1024x1024/100/567/082/products/5-44484f5c6e354003b23f469a5b34789f-master.jpg?v=1747326953427
Thám Tử Lừng Danh Conan - Tập 6,Gosho Aoyama,5,978-604-2-04379-3,38,2023,"Conan đối mặt với những vụ án phức tạp hơn, đòi hỏi kỹ năng quan sát và suy luận tuyệt vời. Trong tập này, độc giả được khám phá thêm về thế giới tội phạm và cách thức hoạt động của các băng nhóm tội phạm. Conan phải học cách sử dụng công nghệ và khoa học pháp y để giải quyết các bí ẩn.",https://bizweb.dktcdn.net/thumb/1024x1024/100/567/082/products/6-841a56641a3f4eac80937f8ad0ee1054-master.jpg?v=1747326951233
Thám Tử Lừng Danh Conan - Tập 7,Gosho Aoyama,5,978-604-2-04380-9,35,2023,Tập 7 mang đến những vụ án đầy bất ngờ với các thủ phạm có động cơ phức tạp. Conan phải đối mặt với những tình huống nguy hiểm trong khi vẫn duy trì vỏ bọc của một đứa trẻ. Các phương pháp điều tra hiện đại và kỹ thuật suy luận logic được thể hiện một cách sinh động và hấp dẫn.,https://bizweb.dktcdn.net/thumb/1024x1024/100/567/082/products/8935352618646-1732181710462.jpg?v=1747103084017
Thám Tử Lừng Danh Conan - Tập 8,Gosho Aoyama,5,978-604-2-04381-6,33,2023,Những bí ẩn trong tập 8 đòi hỏi Conan phải sử dụng tất cả kiến thức và kinh nghiệm của mình. Các vụ án liên quan đến tâm lý học và hành vi con người được khám phá sâu sắc. Conan ngày càng thành thạo trong việc điều khiển Kogoro để giải quyết các vụ án một cách khéo léo.,https://bizweb.dktcdn.net/thumb/1024x1024/100/567/082/products/8-9e0bc382c8b34bf191f78379d063f010-master.jpg?v=1747324357470
Thám Tử Lừng Danh Conan - Tập 9,Gosho Aoyama,5,978-604-2-04382-3,31,2023,Tập 9 giới thiệu những nhân vật mới với các mối quan hệ phức tạp. Conan phải giải quyết các vụ án trong khi đối phó với những nghi ngờ từ người xung quanh về danh tính thật của mình. Những tình tiết gay cấn và bất ngờ khiến độc giả không thể rời mắt khỏi từng trang truyện.,https://bizweb.dktcdn.net/thumb/1024x1024/100/567/082/products/9-15e1c5faa646448eb5822e126bcc1921-master.jpg?v=1747326937990
Thám Tử Lừng Danh Conan - Tập 10,Gosho Aoyama,5,978-604-2-04383-0,29,2023,Các vụ án trong tập 10 ngày càng tinh vi và đòi hỏi kỹ năng suy luận cao độ. Conan phải đối mặt với những tình huống nguy hiểm trong khi bảo vệ bí mật của mình. Sự phát triển của các mối quan hệ nhân vật và những tình tiết hành động được kết hợp một cách hoàn hảo.,https://bizweb.dktcdn.net/thumb/1024x1024/100/567/082/products/tham-tu-lung-danh-conan-tap-10-tb-2023.jpg?v=1747328239420
